Feature,Importance
system_da_price_spread,0.3324294758658695
system_price,0.24841076957284053
niv_lag_1,0.08733092874851851
forecast_generation_margin,0.06689937040887704
niv_rolling_mean_2,0.06588266471491289
niv_rolling_mean_4,0.03566048429115129
residual_demand_forecast,0.026076310807897858
niv_lag_2,0.024384447734488227
day_ahead_price,0.016540866936741706
niv_change_4,0.015535656347107372
niv_rolling_mean_6,0.014422696813274268
niv_change_1,0.008636651989223431
derived_settlement_period,0.006245582066663215
interconnector_flow,0.0061784075309688595
settlement_period,0.00487373138007736
solar_forecast,0.004005882724816983
hour,0.00381431292284191
generation_forecast,0.0031044125010992614
demand_minus_wind,0.0028593898505685058
niv_rolling_mean_12,0.0028134333666347744
sp_cos,0.0026072881735736504
demand_forecast,0.002022892312291421
niv_lag_4,0.001918187348655349
niv_rolling_std_2,0.0018447716463220588
niv_rolling_std_4,0.0017511657605212723
day_of_year,0.0015997444104135948
niv_rolling_std_6,0.0013512498424963061
niv_rolling_mean_48,0.0013337826582512525
wind_forecast,0.0012139225388142407
temperature,0.0010660765840045483
niv_lag_6,0.0010382285374263527
sp_sin,0.0009682253162204996
niv_lag_48,0.0009558228144978093
niv_rolling_std_12,0.0009303420870548821
niv_rolling_std_48,0.0009202229040937194
month,0.000785405632800816
niv_lag_12,0.0007189777178986871
day_sin,0.00031386328130189183
day_of_week,0.00028121693071039486
day_cos,0.0001541776820088791
minute,5.98796128803204e-05
is_weekend,5.907963318854285e-05
niv_extreme_flag,0.0
